term,ngram_n,document_frequency,title_document_frequency,weighted_frequency,아이템,퀘스트,몬스터,직업,시세,기타,dominant_category,category_purity,category_confidence,score,example_1,example_2,example_3
봐도,1,17,1,20,8,1,1,0,1,6,퀘스트,0.058823529411764705,0.2359315678293425,2.157570476720862,메이플 쌩뉴비 질문드려요...,이런거 21성 샤타때 올리면 처분할때 잘 팔려요??,보40 마9 9 로 봐도 될까요 잠재가 애매해요...
않아서,1,17,0,18,15,1,1,0,0,0,아이템,0.8823529411764706,0.4914764683056105,2.1554607307786253,메린이 하드 메이린 배율 105인데 못잡겠습니다..,환산 7~8만대 미트라 옵션 추천 좀 해주십쇼,환산 7.8 헥환 7만 진로질문드립니다!
예정,1,23,0,26,15,1,0,1,1,5,아이템,0.6521739130434783,0.3563341169033373,2.1552514177281243,선생님들 헥사환산 몇을 목표로 잡아야할까요?,마도서 먹었는데 어쩌죠?,에테리온 효과 다 받는 기준이면 몬파 매일 3천포인트 씀??
키우다,1,14,0,15,4,0,0,4,0,6,직업,0.2857142857142857,0.5910816473994608,2.1543644876050725,모멘텀 패스 구매고민,285렙 주차 질문,형님들 메이플 id관련좀 알려주십숑
마크,1,7,1,10,5,0,0,0,2,0,시세,0.2857142857142857,0.7131393188283923,2.151573860175222,이정도면 살만 한가요?,여명 놀긍작 질문있습니다.,하드 스우에서 루컨마 떳는데
나오고,1,17,0,19,7,0,3,1,0,6,몬스터,0.17647058823529413,0.4887277612123611,2.1514883381020966,안녕하세요 챌섭유입 뉴비입니다.,하드 메이린 잡고 챌달고싶은데 뭘 건드려야할지 막막합니다.. ㅠㅠ,18아케인에서 스팩업 질문 있습니다
들고,1,13,1,14,7,0,1,0,0,5,기타,0.38461538461538464,0.34963125048652344,2.1512001087354635,본섭에서 키웠던뉴비인데,뉴비 스펙업 진로 고민있어요,이번 모멘텀 패스 및 경험치 BM류 관련 질문입니다
지금이라,1,12,2,14,2,1,0,2,1,6,직업,0.16666666666666666,0.26092862578399556,2.150081791399308,뉴비 보조무기 질문,챌섭에서 본캐를 바꾸고 싶어요 ㅠㅠ,뉴비 질문있습니다
하더라고요,1,17,0,17,13,0,0,1,1,2,아이템,0.7647058823529411,0.48705171191860175,2.149066135330335,여명셋 질문 있습니다!,"뉴비 챌섭이후 본섭 준비 질문,평가해주세요",작을 새로 해주는게 나을까요?
사용하는게,1,10,1,11,7,0,0,1,0,2,아이템,0.7,0.48355301380033283,2.1485731411632214,"익스우, 노흉 목표 템 진로 질문좀요",잠재 질문,카데나에 대한 질문입니다
높은거,1,5,3,9,4,1,0,0,0,0,퀘스트,0.2,0.693806118902279,2.1485348658931556,챌섭 유입 메린이 템 진로 고민입니다 !!,보공 비율이 너무 높은거 같아 고민입니다..,추옵 높은거 돈 더내고 사는거 ㄱㅊ?
늦게,1,13,0,13,6,0,0,0,0,7,기타,0.5384615384615384,0.6279720442301868,2.148155777867205,메린이 해방무기 질문,메이플 늦은 유입 뉴비 현시점 제네패스 질러도 될까요?,챌섭 스펙업 뭐부터해야할까요?
가량,1,12,0,12,9,0,0,0,0,3,아이템,0.75,0.6746376658839944,2.1476804025450194,미트라 갈아타기 질문점요,레테 하드 메이린 스펙 업 질문 있습니다!,제네무기vs미트라 미라클때 등업 머할까요
무료,1,12,0,12,9,0,0,0,0,3,아이템,0.75,0.6746376658839944,2.1476804025450194,메짱이 선생님들 아버 이후에 질문있습니다. 17에테 VS 18아케인(+27여명),뉴비 챌섭 자석펫 팔기 vs 쓰기,챌섭에서 석펫 사서 재획 vs 본섭에서 풀드메템으로 재획
상태이고,1,12,0,12,9,0,0,0,0,3,아이템,0.75,0.6746376658839944,2.1476804025450194,메이플 챌섭 뉴비 아이템 추가 스펙업 질문합니다!,메린이 템셋 조언 부탁드립니다.,챌섭 진로 질문이요
가횟,1,12,0,12,9,0,0,0,3,0,시세,0.25,0.6744449701201086,2.147433275107137,18에테 22아케인 질문있습니다,카에유잠 사기 vs 에디 메소 등업,복귀메린이 유챔 세렌정도 잡을템셋 조언 부탁드립니다!
사용해,1,9,2,11,4,0,0,1,0,4,기타,0.4444444444444444,0.40274109305214645,2.1472316038563846,이번 챌섭 유입 메린이 제네시스 무기 잠재능력 질문 있습니다,저 거공 먹었는데 사용해도 되나요?,뉴비 제네시스 무기 작 질문드립니다.
마저,1,11,1,12,5,0,0,1,0,5,기타,0.45454545454545453,0.4301776659352474,2.146430993368081,제네무기 옵션 방향성좀 알려주세요...,챌섭말고 레벨업 빠르게 할만한 방법 있음?,대적자큐브 계획 질문
메소 모아서,2,16,0,16,11,0,0,1,0,4,아이템,0.6875,0.5147440967949969,2.145796593934983,초저자본 메린이 첫 제네시스 잠재 질문,성장 방향 조언 부탁드려요,메린이 챌린저 달았는데 이제 세팅 뭐부터할까요?
들었는데,1,23,0,23,9,0,2,0,3,9,시세,0.13043478260869565,0.34798673020690396,2.141987195596127,뉴비 아버 템 대체질문,메린이 한 100억정도 생기면,메린이 에디 레전 천장 어떻게 하는게 좋을까요
호영,1,9,1,11,2,2,0,2,0,3,퀘스트,0.2222222222222222,0.5389755378023218,2.140248819359825,챌섭 호영 템셋 질문,하드메이린.... 왜 안될까요,메린이 내 캐릭이 왜 약한지 모르겠어요
5퍼,1,4,2,6,4,0,0,0,0,0,아이템,1.0,1.0,2.139882392968636,마도서,보조무기 보공 5퍼,메이린 배율 96퍼에서 5퍼 끌어올리고 싶은데
60개,1,4,2,9,4,0,0,0,0,0,아이템,1.0,1.0,2.139882392968636,"에디 레전 천장 60개 남았는데, 진로 조언 부탁드립니다!",레테 블큡 60개 어디써야 좋을까요? 무보엠,챌섭 카블큐 사용처 질문
골라야하나요,1,4,2,7,4,0,0,0,0,0,아이템,1.0,1.0,2.139882392968636,제네시스 무기 1추랑 2추보공중에서 어떤거 골라야하나요?,렌 스텟뚝vs2초뚝,아델 아이템 버닝 주스텟 이랑 쿨 중에 뭐 골라야하나요?
노려,1,4,2,6,4,0,0,0,0,0,아이템,1.0,1.0,2.139882392968636,"에디 레전 천장 60개 남았는데, 진로 조언 부탁드립니다!",복귀 뉴비인데 챌린저스에서 장신구 직작 해도 되나요?,이거 아랫잠 노려도 되나요?
레전천장,1,4,2,8,4,0,0,0,0,0,아이템,1.0,1.0,2.139882392968636,에디 레전천장 사용처 추천부탁드려요 + 도전자 대체셋 질문,챌섭 부캐 에디 레전 천장 사용처 질문,"에테 17을 직작하는거보다 사와서 샤타포스때 18,19++ 로 점진적 성장하는건 별론가요?"
리프할 서버,2,4,2,7,0,0,0,0,0,4,기타,1.0,1.0,2.139882392968636,안녕하세요 이번에 처음 시작한 뉴비인데 리프할 서버 추천해주시면 감사합니다!,링크 어떻게들 쓰시나요 선생님들 ?,복귀뉴비 챌섭 키우는데 리프할 서버 추천부탁드려요
링크 3렙,2,4,2,9,0,0,0,0,0,4,기타,1.0,1.0,2.139882392968636,님들 링크 3렙 찬란한영웅의 증거 질문 있습니다,님들 리프 질문 285렙 링크 관련,챌섭 링크3렙 관련
마스코트,1,4,2,10,0,0,0,0,0,4,기타,1.0,1.0,2.139882392968636,챌섭에서 퍼레이드 영구 자석펫 어떻게 수령하나요?,쁘띠 마스코트 대행진!에서 어떻게 하면 의자를 받을 수 있나요??,
메카베리,1,4,2,9,0,0,0,0,0,4,기타,1.0,1.0,2.139882392968636,메카베리 본캐vs부캐,유료 경험치 주는것들 효율 궁금해요,메카베리가 블루베리보다 좋은건가요?
명장,1,4,2,6,0,0,0,0,0,4,기타,1.0,1.0,2.139882392968636,챌린저스서버 질문드립니다.,썜들 메린이 챌린저 찍을 수 있게 진로부탁드립니다..,명장 달고 일정시간이상 제작 안하면 떨어진다던데 맞나요?
무기 대적자,2,4,2,6,4,0,0,0,0,0,아이템,1.0,1.0,2.139882392968636,제네 무기 대적자 코인 질문,챌섭뉴비 레테 템 진로 잘 짠걸까요??,재네 무기 대적자 코인 어따 쓸까요
방어구 세팅,2,4,2,6,4,0,0,0,0,0,아이템,1.0,1.0,2.139882392968636,복귀 유저 방어구 세팅 질문있습니다,이번 챌섭 유입 템세팅 질문드려봅니다,이카돌이 방어구 세팅 괜춚?
보조 잠재,2,4,2,6,4,0,0,0,0,0,아이템,1.0,1.0,2.139882392968636,레테 잠재 질문이요..!,뉴비 챌린저까지 템세팅 질문!,보조 잠재
서버 어디,2,4,2,6,0,0,0,0,0,4,기타,1.0,1.0,2.139882392968636,챌섭리프,안녕하세요 이번에 처음 시작한 뉴비인데 리프할 서버 추천해주시면 감사합니다!,무소과금 서버는 어디가 괜찮나요?
세팅좀,1,4,2,6,4,0,0,0,0,0,아이템,1.0,1.0,2.139882392968636,뉴비 콜 280억으로 세팅좀 해주실분 ㅠㅠ 메이린 잡고싶어요,햄들 스펙업 조언좀 부탁드림다...,하드메이린 세팅좀 도와주세요...
수로,1,4,2,10,0,0,0,0,0,4,기타,1.0,1.0,2.139882392968636,수로랑 플래그 돌아도 오프접하면 안되는 이유가 궁금해서 질문을 합니다아,이번주 수요일에 끝난 게 있나요?,저혹시 길스 대해 여쭤볼게있어서 ㅠㅠ
수요,1,4,2,8,4,0,0,0,0,0,아이템,1.0,1.0,2.139882392968636,법사 4초뚝 수요가 있나요?,"주니어발록,유니콘티엘 이런 썩다리펫 수요가 있나여?",챌섭 챌린저 목표 겸
스타포스 17성,2,4,2,6,4,0,0,0,0,0,아이템,1.0,1.0,2.139882392968636,안녕하세요 템셋 질문있습니다,스타포스 17성 강화권 질문,잠재능력이나 스타포스 같은 이름 다른 아이템으로 못옮기나요..?
아케인셰이드,1,4,2,7,4,0,0,0,0,0,아이템,1.0,1.0,2.139882392968636,챌섭 아케인셰이드 장갑 극추옵 질문드립니다,안녕하세요 유입메린이입니다. 아케인셰이드 디키오샀는데,잠재전승권 질문이요
안늦나요,1,4,2,6,0,0,0,0,0,4,기타,1.0,1.0,2.139882392968636,제네패스 오늘 기준 7/16 사도 안늦나요?,본메 쌩뉴비 지금시작해도 안늦나요?,뉴비 현실적 목표 질문
에디 등업,2,4,2,6,4,0,0,0,0,0,아이템,1.0,1.0,2.139882392968636,메린이 오늘 해방했어요!,"미트라 에디, 제네 에디 등업 질문",챌섭뉴비 레테 템 진로 잘 짠걸까요??
오래된,1,4,2,6,0,0,0,0,0,4,기타,1.0,1.0,2.139882392968636,컴알못 질문드려도 될까요... (부품 교체),명의분리 관련 아시는 분 계신가요..?,오래된 캐릭터 정리된적 있나요?
제네 무기 윗잠,3,4,2,6,4,0,0,0,0,0,아이템,1.0,1.0,2.139882392968636,챌섭 메린이 제네 무기 윗잠 아랫잠 뭐 돌려야 하는지 알려주세요..!,렌 해방무기좀 봐주셈 큐브,제네 무기 윗잠 질문
해결법,1,4,2,6,0,0,0,0,0,4,기타,1.0,1.0,2.139882392968636,점프 한번만 눌렀는데 두번 눌리는 버그,캐시샵 들어가는게 엄청 오래걸리는데 해결법 아시는분 계신가요,몬파 핸즈가 안 되는데
해방무기 에디,2,4,2,6,4,0,0,0,0,0,아이템,1.0,1.0,2.139882392968636,메린이 해방무기 에디 돌리는게 좋을까여,미라클 에디 고민,메고수 형님들 뉴비 스펙업 도움
해야될까요,1,4,2,7,4,0,0,0,0,0,아이템,1.0,1.0,2.139882392968636,이게 주흔15퍼작보다 좋은건가요?,뉴비 템 순서 질문드립니다,뉴비 잠재 어떻게 해야될까요
재밌어서,1,19,0,19,11,0,0,1,0,7,아이템,0.5789473684210527,0.42784348858714344,2.1387184101722125,익스우 솔플가려면 얼마나 더 써야될까요?,챌섭 뉴비 앞으로 진로 설정 부탁드립니다,메린이 템셋 조언 부탁드립니다.
헥사 강화,2,9,1,11,5,0,0,2,0,2,직업,0.2222222222222222,0.5372645524184839,2.1378693569461924,유챔 하드 세렌급 보조 스펙 질문 있습니다!,스펙업 질문,하드 메이린 89% 스펙업 도와주세요ㅜㅜ
구매하,1,9,1,11,7,0,0,1,0,1,아이템,0.7777777777777778,0.5372486966868566,2.13784730642618,해방 무기 제네패스 코인 질문,렌이냐 제논이냐 그것이 문제로다..,렌 스펙업 도움 부탁드려도 될까요?
다른거,1,9,1,11,7,0,0,1,0,1,아이템,0.7777777777777778,0.5372486966868566,2.13784730642618,유료 경험치 주는것들 효율 궁금해요,뉴비 이번 미라클때 조언좀가능할까요?,스펙업 추천해주세요
노적자,1,5,3,9,2,0,0,0,0,3,기타,0.6,0.6845671842631943,2.1368155947355767,메린이 익스우 템세팅 질문,노적자 노칼 목표 스펙업 방향부탁드립니당..,이번 챌섭이 본캐인데 진로상담 요청합니다!
얻는데,1,5,3,8,2,0,0,0,0,3,기타,0.6,0.6845671842631943,2.1368155947355767,카르시온 유적지 질문있습니다,메짱이분들 도와주세요,뉴비 내일 이면 제네무기 얻는데 에디셔널 문의
사서 17성,2,15,0,16,13,0,1,1,0,0,아이템,0.8666666666666667,0.5407838610341665,2.135979978256198,메짱이 선생님들 아버 이후에 질문있습니다. 17에테 VS 18아케인(+27여명),뉴비 템 순서 질문드립니다,챌섭 복귀유저 렌 스펙업 훈수 부탁드립니다.
하드메이린 목표,2,7,4,12,3,0,0,1,0,3,직업,0.14285714285714285,0.3843422015416294,2.13428270380673,메린이 하드메이린 목표 템셋 봐주시면 감사하겠습니다!,하드메이린 목표 템셋 좀 봐주세요 ㅠㅠ,하드메이린 목표 - 템셋 어캐해야할까요 ...?
올려서,1,12,1,14,9,1,0,1,0,1,퀘스트,0.08333333333333333,0.37619354847747566,2.131940957604647,크주잡 에테 스타포스 어디까지 올려야할까요?,챌섭 블큐 화에큐 사용처 및 챌 달성 질문,지금 에테 쿨뚝 사둘만함니까?
맞출지,1,8,1,10,7,0,0,1,0,0,아이템,0.875,0.6043591856185434,2.129084577727302,아버 이후 템세팅 질문...,드메부터 맞출지 스펙을 올릴지 추천좀 해주세요,메린이 템 방향 조언 부탁드립니다 젭알
대비,1,8,1,9,6,0,0,2,0,0,직업,0.25,0.6043529668950975,2.1290763250939144,살짝 과부화 오는데 방향성 한번만 잡아주실분..?,메린이 챌린저 달았는데 이제 세팅 뭐부터할까요?,미라클 대비 미트라 질문
목표 챌린저,2,9,0,9,8,0,0,0,0,1,아이템,0.8888888888888888,0.8468447891548733,2.1262586402908714,"메린이 오늘 첫 해방했는데, 잠재 돌리고 남은 블랙큐브는 어디에 쓰는게 좋나요?",이번 메이플 챌린저스 유입 뉴비입니다. 도와주세요,4주차 뉴비 앞으로 진로방향좀 가르쳐주세요!
바를,1,9,0,9,8,0,0,0,0,1,아이템,0.8888888888888888,0.8468447891548733,2.1262586402908714,챌섭 챌린저 목표 템셋팅 관련 질문입니다.,커믹 질문입니다!,18성 주문서 어디에 쓰나요?
보는게,1,9,0,9,8,0,0,0,0,1,아이템,0.8888888888888888,0.8468447891548733,2.1262586402908714,제네시스 코인 투자처 질문,메린이 해방무기 에디 돌리는게 좋을까여,드메 vs 스펙업
생각하고 있는데,2,9,0,9,8,0,0,0,0,1,아이템,0.8888888888888888,0.8468447891548733,2.1262586402908714,복귀유저 템세팅 질문드립니다.,에디 레전천장 사용처 추천부탁드려요 + 도전자 대체셋 질문,챌섭 메린이 템세팅 질문있습니다
만들었는데,1,13,1,14,9,1,0,0,1,2,퀘스트,0.07692307692307693,0.3335607928217751,2.125585134079703,하이퍼버닝 캐릭 삭제 고민,아케인 쌍크 장갑을 만들었는데,"미라클때 만든 레전잡, 유니크3줄 칠흑 언제팔아야 할까요"
사라지나요,1,6,3,11,4,0,1,0,0,1,몬스터,0.16666666666666666,0.5424174339141842,2.124827647022594,챌섭에 있다가 본섭가면 도전자 사라지나요?,에디천장 질문있습니다.,리프 관련
얻을,1,10,1,11,6,1,0,0,0,3,퀘스트,0.1,0.4670977984316899,2.1247416815225884,부티크 전투복 질문!,대적자 코인 쓸 곳 질문드립니다.,뉴비 해방이후 스펙업 방향성 검토 부탁드리겠습니다
돌리면,1,10,0,10,3,0,0,0,0,7,기타,0.7,0.7714776754991928,2.1239089719736803,메m 어제부터 갑자기 약해졌어요,지금 284인데 챌섭기간 동안 290가능함?,올티마 전사 28때 망치와 디바이드 쓰고 자동돌리면 됨?
유전데,1,5,2,8,2,0,0,0,2,1,시세,0.4,0.7829026778820505,2.1236993192160023,챌섭 복귀 유전데 질문좀 받아주세요,데브펜 18성 쌍레,이번에 복귀 유전데 캐샵 통합
라는,1,13,1,14,5,1,0,1,0,6,퀘스트,0.07692307692307693,0.33167114815716986,2.122573197444044,크주잡 에테 스타포스 어디까지 올려야할까요?,헥환 4.5 이후 템셋팅 질문.,메짱이 선생님들 아버 이후에 질문있습니다. 17에테 VS 18아케인(+27여명)
가능함,1,5,3,11,1,2,1,0,0,1,퀘스트,0.4,0.6706158518381005,2.1191188088954087,제논 해방 후에 4해적에테+5도적에테 이런식으로 가능함?,검마 솔플 환산 2.8 포뻥,메린이 검마 솔격 가능함??
나올,1,9,1,10,4,0,0,2,0,3,직업,0.2222222222222222,0.5235507857662806,2.118797661415367,모멘텀 패스 플러스 누구 줄까요?,미라클 어디에 질러야 할까요?,보마 검마 3페 사선 피하는 법 질문입니다.
정지,1,6,3,12,0,0,0,0,1,5,기타,0.8333333333333334,0.5378879856371345,2.11858789848681,타명의 계정 재화 옮기면 정지 당하나요,친구계정 레잠 쓰는것도 정지되나요?,제가 메이플을 22년하면서 단 한번도 정지를 당해본일이 없어서 몰라갖고 물어보는건데요
겨울,1,10,1,14,2,0,0,2,0,6,직업,0.2,0.4618070397787734,2.117079277933172,겨울에도 재네패스 하나요?,이번 챌섭 유입 메린이 제네시스 무기 잠재능력 질문 있습니다,285렙 주차 질문
이건,1,26,0,28,14,0,2,1,1,8,아이템,0.5384615384615384,0.28405905950576943,2.116024593222981,지난주에 챌섭 시작한 뉴비인데 제네시스 패스 사도 되나요?,제네무기 유니크 에디 공이탈 +@질문,메짱 성님들 챌섭 제네 진로점영
매그너스,1,5,2,10,0,3,1,0,0,1,퀘스트,0.6,0.7747929666547277,2.114039460365511,매그너스 파풀 길뚫 스킵방법 없나요 ㅠ,제네시스 해방 퀘스트 관련 질문입니다 [메린이],제네시스 패스 어둠의 흔적 질문
정도면,1,19,0,19,11,0,3,0,2,3,몬스터,0.15789473684210525,0.41089868098477234,2.1133373566704194,헥환 8만 목표 과금 어느정도 해야할까요?,하이퍼버닝 캐릭 삭제 고민,무보 이런데 해방하고 정옵띄우면 하드메이린 가능한가요??
주는거,1,8,1,12,4,0,0,0,0,4,기타,0.5,0.5913081818747175,2.111765082788812,오늘 썬데이 메이플 솔에르다 주는거 278레벨 25개 받는거 맞지?,"모멘텀패스 1차, 2차 각각 다른 캐릭터에 지정 가능한가요?",아버 끝나고 방어구
헥사환산,1,10,2,12,6,0,1,1,0,2,몬스터,0.1,0.3239208374899819,2.110463820166849,선생님들 헥사환산 몇을 목표로 잡아야할까요?,안녕하세요 챌섭유입 뉴비입니다.,보마 메이린 배율 질문있습니다 !
매주,1,18,0,20,6,0,2,0,0,10,기타,0.5555555555555556,0.43342132125817284,2.1103108059404123,메쌤들 현실적으로 챌 달성 가능한지 상태좀 봐줄수있나요,에테리온 효과 다 받는 기준이면 몬파 매일 3천포인트 씀??,노적자 노칼 목표 스펙업 방향부탁드립니당..
데카,1,9,1,14,0,0,3,3,0,3,몬스터,0.3333333333333333,0.5171117613871103,2.109842928876195,검마 배율 181%인데 이거 잡히는거 맞나요..?,보마 검마 3페 사선 피하는 법 질문입니다.,선생님들 챌섭 일리움 검마 잡는데 3페이지 꿀팁 있나요?
얼마임,1,7,1,8,3,0,0,0,2,2,시세,0.2857142857142857,0.6783589393122773,2.107892325000941,요즘 화에큐 레전 에디 천장 얼마임?,님들 지금 크크장갑 사면 바보임?,챌섭 프펫 가격
나오나요,1,8,3,11,4,0,0,1,0,3,직업,0.125,0.35460128307766053,2.1070989505408892,검마 흔적만 먹으러가는 6인팟도 나오나요?,레테 쿨뚝 질문,챌섭 진투복 구입할가요?
모르,1,8,1,9,5,0,0,2,0,1,직업,0.25,0.5870556136051882,2.106121659795041,아흐... 펫장비 이전 줌서에 대한 글은 많은데...,렌 돌진기 질문,유니온 계정 버리고 새로 키우는게 맞을까요 조언 부탁드립니다!
사람들,1,12,0,12,3,0,0,4,0,5,직업,0.3333333333333333,0.641714119948521,2.1054567885487456,제로<>렌 직변 해보신분 궁금합니다.,이번 미라클 지나고 9월 16일 전에 미라클 한 번 더 할려나요?,샤타만 한달에 한번인가?
있는건가요,1,15,1,16,4,1,2,1,2,5,몬스터,0.13333333333333333,0.2571162710903445,2.1051243786591884,유니온 제대로 적용되고 있는건가요,뉴비 진짜 이해안가는데 챌섭매물이요,커포링 극추옵….?
적당히,1,19,0,20,13,1,0,1,0,4,아이템,0.6842105263157895,0.4008206302809533,2.0982417857964473,노적자 노칼 목표 스펙업 방향부탁드립니당..,뉴비 여기서 과금 더 안하고 첼은 많이 힘들까용,본섭에 유니온 만들려는데 고민상담좀 해주십쇼..
뉴빈데,1,5,2,7,1,0,0,0,2,2,시세,0.4,0.7614721826125159,2.0981724473463403,뉴빈데 지금 시작해도 괜찮나요?,뉴비 자석펫 질문,이런거 얼마할까요?
전까지,1,17,0,17,11,0,0,0,1,5,아이템,0.6470588235294118,0.4499126690550719,2.095393315026314,뉴비 아버 템 대체질문,제네무기 vs 미트라 에디,메이플 쌩뉴비 질문드려요...
사야할지,1,11,0,13,10,0,0,1,0,0,아이템,0.9090909090909091,0.6857527143266959,2.094469064864289,뉴비 50억으로 뭐해야 할 까요 ?,메린이 템세팅 관련해서 질문 있습니다..!,크뎀 장갑 고민입니다 ㅠㅠ
한부위씩,1,11,0,13,10,0,0,1,0,0,아이템,0.9090909090909091,0.6857527143266959,2.094469064864289,챌섭 아케인 쌍크 장갑 팔아야되나요 ? 메린이 템세팅 방향성 한번 잡아주시면 감사하겠습니다.,하버 본캐 썬콜VS키네VS제논 (투표),8-9만 세팅 가능할까요?
보스코인샵,1,9,1,10,6,1,0,0,0,2,퀘스트,0.1111111111111111,0.504732214346583,2.0926267286917954,미라클 대비 미트라 질문,카루타 11성 9퍼 공10 둘둘,이카돌이 제네무기 우선순위
라라,1,6,1,13,1,0,0,3,0,2,직업,0.5,0.7792859641935431,2.091151013573737,에테리온 효과 다 받는 기준이면 몬파 매일 3천포인트 씀??,이번 레테복귀유저 본섭캐릭 버릴까용?,법사 본캐 추천점요
키우려고,1,6,1,7,1,0,0,3,0,2,직업,0.5,0.7792859641935431,2.091151013573737,유챔 세렌 질문,부캐 육성,이번주 목요일
똑같,1,18,0,19,7,0,1,1,0,9,기타,0.5,0.41922748247099323,2.0894143598459243,배율20퍼차이나는데 딜이 똑같은데 뭐가문제일까요,환산주스탯 헥사스탯 어캐하나요?,카르시온 넘어왔는데 왜 사냥 메소가 줄었을까요?
잡는,1,9,0,10,3,0,4,0,0,2,몬스터,0.4444444444444444,0.8141991001969039,2.0886739019183014,선생님들 헥사환산 몇을 목표로 잡아야할까요?,카링 3페 질문점요!,이번 이벤으로 시작한 늅늅이 장비좀 봐주실수 있을까요?
혹은,1,19,0,21,13,0,1,2,0,3,아이템,0.6842105263157895,0.39439127751750824,2.0886114760106893,카오스 3-5를 못 깨고있는데요,챌섭 챌린저 가능할까요?,대적자코인 어디 쓰는게 나을까요
별로,1,16,0,16,8,0,0,3,0,5,직업,0.1875,0.4743526307445851,2.088577773634973,메린이 본캐 고민,제네무기 고민중인데여..,유챔 세렌 질문
이고,1,13,0,13,11,0,1,0,0,1,아이템,0.8461538461538461,0.5819029978502052,2.087366350608467,챌섭 챌린저 목표 템셋팅 관련 질문입니다.,4여명 깨고 4흙칠흑 vs 4여명 유지 2흙칠흑,챌섭 부캐 에디 레전 천장 사용처 질문
18성 유에,2,6,1,8,5,0,0,0,0,1,아이템,0.8333333333333334,0.775574796284227,2.0867893692448973,챌섭 4여명5보장 18성 유에 장신구들 하나씩 19성 올리는거 비추인가요??,유에 여명 보장도 21성 달만함??,"""자석펫 장착 vs 팔고 템셋팅"""
괜찮은지,1,6,1,7,5,0,0,0,0,1,아이템,0.8333333333333334,0.775574796284227,2.0867893692448973,레테 보조 질문드립니다..,헥환 7만 중반 ~ 8만 목표 레테 템세팅 조언 부탁드립니다.,메린이 챌섭 무보엠 세팅 질문있습니다
되겠죠,1,6,1,7,5,0,0,0,0,1,아이템,0.8333333333333334,0.775574796284227,2.0867893692448973,헥환 8만 목표 과금 어느정도 해야할까요?,하트 유니크 21퍼면 당분간 안건드려도 되겠죠?,뉴비 첫 해방 무기
바른,1,6,1,7,5,0,0,0,0,1,아이템,0.8333333333333334,0.775574796284227,2.0867893692448973,미트라 vs 에테 장갑 고민 추천 부탁드립니다.,궁금한 게 많은 메린이 질문드립니다 !..,해방 후 큐브 사용 순서 질문
여명4셋,1,6,1,7,5,0,0,0,0,1,아이템,0.8333333333333334,0.775574796284227,2.0867893692448973,챌린저목표 8600만 윈브 뭘 더 해야할까요?,챌섭레테 여명4셋 이후 뭐맞추는게 좋나요,메린이 스타포스 질문
여명장신구,1,6,1,7,5,0,0,0,0,1,아이템,0.8333333333333334,0.775574796284227,2.0867893692448973,모험가 22성 나오면 18둘둘로 하드 메이린 가능할까요?,뉴비 아이템 셋팅 질문 두개만 부탁드립니다.,해방했으면 15퍼 여명장신구 프악작 해주면 되나요?
질러서,1,6,1,7,5,0,0,0,0,1,아이템,0.8333333333333334,0.775574796284227,2.0867893692448973,자석펫 사려는데,이번달에 바로 150만원 질러서 MPV 레드 달성했는데요,이번 챌섭 유입 템세팅 질문드려봅니다
키우려는데,1,6,2,9,0,0,0,2,0,4,직업,0.3333333333333333,0.61294895204801,2.0865514024360197,유뇬작이랑 링크작하려는데,루미너스 윈브 중에 본캐 추천 부탁드립니다!,유니온 캐릭 키우려는데
18성 에테,2,7,2,9,6,0,0,0,1,0,시세,0.14285714285714285,0.5088019395024438,2.085761427277208,템 가성비 셋팅 질문,챌섭 유입 스펙업 질문있습니다.,18성 에테구간에서 21% vs 24% 10억차이 체감큼?
크뎀장갑,1,7,2,9,6,0,0,0,1,0,시세,0.14285714285714285,0.5088019395024438,2.085761427277208,메린이 도움 부탁드립니다 보마 300억 템세팅,챌섭 200제 강화권 사용처 질문드립니다,크뎀장갑 질문
키워야,1,5,1,7,0,0,0,4,0,1,직업,0.8,0.9268423379713244,2.0851761527444346,꼭 챌린저스나 하이퍼버닝으로 키워야 하나요 ?,챌섭에서 285렙 2개 키우려고 하는 메린이 입니다! 질문 있습니다,본섭 유기캐 본캐로 키우기.
키우던,1,8,1,9,4,0,0,2,0,2,직업,0.25,0.5707208543046036,2.084444416681708,에테리온 효과 다 받는 기준이면 몬파 매일 3천포인트 씀??,작년 챌섭 렌 키우던 메린이입니다 ! 템 세팅 질문이 있습니다!,메린이 비욘드버닝 도와주세요ㅠㅠ
건지,1,7,1,8,3,0,0,0,0,4,기타,0.5714285714285714,0.6585992089000233,2.0830755929512725,에디 레전 천장 사용처가 고민입니다....,플라즈마 하트 변환 질문이요!,노칼 딜배율 200% 목표 / 18에테 교체 순서 및 칠흑·엠블 문의
요약,1,12,0,12,10,0,0,1,0,1,아이템,0.8333333333333334,0.6238557094790959,2.0825538293193273,챌섭 챌린저 목표 템셋팅 관련 질문입니다.,헥환 4.5 이후 템셋팅 질문.,잠재 좀더 돌려야될까요?
올리고,1,19,0,19,9,0,0,2,0,8,기타,0.42105263157894735,0.38919888143857273,2.080833961755318,하드메이린 목표 템셋 좀 봐주세요 ㅠㅠ,스펙업 순서,9만~데티 해방 사이 괜찮은 라인
환산사이트,1,9,2,11,5,0,0,1,0,3,아이템,0.5555555555555556,0.3591177353905033,2.0804555945832828,미트라 고민,헥환 4.5 이후 템셋팅 질문.,템사기 vs 6차업글 도 환산 사이트보고 하면 되나요?
